influencer_id,username,followers,posts,posts_count,is_verified
1,hugodecrypte,16,"0,1,2,",3,1
2,le_gorafi,6,"3,6,",2,1
3,demotivateur,1,"4,7,8,",3,1
4,secretmagoff,1,"5,",1,0
5,konbini,5,"9,10,",2,1
