influencer_id,username,Account type
0,hugodecrypte,1
1,hugodecrypte,1
2,hugodecrypte,1
3,le_gorafi,0
4,demotivateur,0
5,secretmagoff,0
6,le_gorafi,0
7,demotivateur,0
8,demotivateur,0
9,konbini,1
10,konbini,1
11,hugodecrypte,1
12,epicurieux,1
13,konbini,1
14,rtl_france,1
15,dr.jimmy.mohamed,1
16,demotivateur,0
17,hugodecrypte,1
18,hugodecrypte,1
19,le_gorafi,0
