influencer,followers_count,activity_rates,credibility_rates,engagement_rates,infections
influencer1,500,0.1,0.65,5.0,202
influencer2,400,0.3,0.7,6.0,44
influencer3,300,0.5,0.75,7.0,74
influencer4,200,0.7,0.8,8.0,86
influencer5,100,0.9,0.85,9.0,115
