influencer,followers_count,activity_rates,credibility_rates,engagement_rates,infections
influencer1,250,0.05,0.55,2.0,27
influencer2,250,0.1,0.6,2.5,126
influencer3,250,0.15,0.65,3.0,6
influencer4,250,0.2,0.7,3.5,82
influencer5,250,0.25,0.75,4.0,164
