username,followers,activity_rate,credibility_rate,engagement_rate,infections
khaledbeydoun,657,1.1428571428571428,1.0,1.1558695652173914,86
epicurieux,175,1.0,1.0,0.4070032573289902,124
hugodecrypte,1000,1.2142857142857142,0.7647058823529411,2.77322,83
rtl_france,105,7.142857142857143,1.0,0.032520325203252,180
secretmagoff,14,0.2857142857142857,0.0,0.8829174664107486,34
