influencer_id,username,followers_count,post_count_week,activity_rate_weekly,credibility_rate,engagement_rate_global,followers_count_normalized_to_1000
1,hugodecrypte,3500000,17,1.2142857142857142,0.7647058823529411,2.77322,1000
2,le_gorafi,515000,2,0.14285714285714285,0.6666666666666667,6.735275080906149,147
3,demotivateur,758000,46,3.2857142857142856,0.25,2.5075857519788918,216
4,secretmagoff,52100,4,0.2857142857142857,0.0,0.8829174664107486,14
5,konbini,2700000,61,4.357142857142857,1.0,1.7408024691358026,771
6,epicurieux,614000,14,1.0,1.0,0.4070032573289902,175
7,rtl_france,369000,100,7.142857142857143,1.0,0.03252032520325203,105
8,dr.jimmy.mohamed,1300000,9,0.6428571428571429,1.0,1.3390000000000002,371
9,khaledbeydoun,2300000,16,1.1428571428571428,1.0,1.1558695652173914,657
